timestamp,object,px_widths,px_heights,px_width_changes,px_height_changes,mm_widths,mm_heights,mm_width_changes,mm_height_changes,rostopic_wrenches,rostopic_positions
1472417117,compressed-20,285.93767385349867,231.38544657676186,14.633758155294743,19.68677123859655,-285.93767385349867,-231.38544657676186,-14.633758155294743,-19.68677123859655,3.17734861374,-0.247836962893
1808700085,compressed-21,285.23572821067575,232.6051933312184,13.931812512471822,20.906517993053086,-285.23572821067575,-232.6051933312184,-13.931812512471822,-20.906517993053086,2.48761463165,-0.248400669975
1869040013,compressed-22,286.84270388843964,232.27709782994447,15.53878819023572,20.57842249177915,-286.84270388843964,-232.27709782994447,-15.53878819023572,-20.57842249177915,2.58505249023,-0.247200034314
1938923121,compressed-23,286.83464729797385,233.21346122995683,15.530731599769922,21.51478589179152,-286.83464729797385,-233.21346122995683,-15.530731599769922,-21.51478589179152,2.54289984703,-0.247762220577
2002481938,compressed-24,286.9188601887982,241.19250639504818,15.614944490594269,29.49383105688287,-286.9188601887982,-241.19250639504818,-15.614944490594269,-29.49383105688287,2.39799761772,-0.247583246434
2072813988,compressed-25,286.84515651530927,240.38320727293285,15.541240817105347,28.684531934767534,-286.84515651530927,-240.38320727293285,-15.541240817105347,-28.684531934767534,3.37702727318,-0.247740987789
2134469986,compressed-26,286.8376336123324,249.431085550969,15.533717914128488,37.73241021280367,-286.8376336123324,-249.431085550969,-15.533717914128488,-37.73241021280367,2.13131690025,-0.247072084448
2205877066,compressed-27,285.84276771553385,258.44060692951524,14.53885201732993,46.741931591349925,-285.84276771553385,-258.44060692951524,-14.53885201732993,-46.741931591349925,3.54215979576,-0.247473827422
2274948121,compressed-28,286.23217511808264,255.45851904571938,14.928259419878714,43.75984370755407,-286.23217511808264,-255.45851904571938,-14.928259419878714,-43.75984370755407,2.92347788811,-0.246902737513
2336704970,compressed-29,286.8427831373207,243.4769121243443,15.538867439116757,31.77823678617898,-286.8427831373207,-243.4769121243443,-15.538867439116757,-31.77823678617898,3.34762120247,-0.247405915676
2408782959,compressed-30,286.85764273792563,243.8589020036708,15.553727039721707,32.16022666550549,-286.85764273792563,-243.8589020036708,-15.553727039721707,-32.16022666550549,2.79500699043,-0.247135935626
2470596076,compressed-31,286.78820121309326,240.90743128375993,15.484285514889336,29.208755945594618,-286.78820121309326,-240.90743128375993,-15.484285514889336,-29.208755945594618,3.40177536011,-0.246194349426
2539067984,compressed-32,286.654664972458,231.15336655547205,15.350749274254099,19.45469121730673,-286.654664972458,-231.15336655547205,-15.350749274254099,-19.45469121730673,2.02527070045,-0.247192045224
2604337931,compressed-33,286.84532428399007,242.12361835785532,15.541408585786144,30.424943019690005,-286.84532428399007,-242.12361835785532,-15.541408585786144,-30.424943019690005,2.92986440659,-0.247353547278
2671126128,compressed-34,286.6655375382768,232.04810863449921,15.361621840072871,20.3494332963339,-286.6655375382768,-232.04810863449921,-15.361621840072871,-20.3494332963339,2.97754788399,-0.247212745319
2734586001,compressed-35,285.34068402796623,230.76301581010762,14.03676832976231,19.0643404719423,-285.34068402796623,-230.76301581010762,-14.03676832976231,-19.0643404719423,2.58916401863,-0.247268463435
2806046010,compressed-36,286.20973003855005,234.04583204827176,14.905814340346126,22.347156710106447,-286.20973003855005,-234.04583204827176,-14.905814340346126,-22.347156710106447,2.56593608856,-0.247169492471
2874932051,compressed-37,286.20942357927913,232.03372950212463,14.90550788107521,20.335054163959313,-286.20942357927913,-232.03372950212463,-14.90550788107521,-20.335054163959313,2.59766387939,-0.246455542363
2936828137,compressed-38,285.9556430198086,240.17455111243095,14.651727321604653,28.47587577426563,-285.9556430198086,-240.17455111243095,-14.651727321604653,-28.47587577426563,4.87504005432,-0.246430138143
3008594990,compressed-39,286.86804690564844,228.18897405807735,15.564131207444518,16.490298719912033,-286.86804690564844,-228.18897405807735,-15.564131207444518,-16.490298719912033,5.42577981949,-0.246979339453
3070663929,compressed-40,286.61678241870754,239.31340247695908,15.31286672050362,27.614727138793768,-286.61678241870754,-239.31340247695908,-15.31286672050362,-27.614727138793768,9.53734111786,-0.246321285404
3139050961,compressed-41,286.7880241813829,229.05396726216702,15.484108483179,17.355291924001705,-286.7880241813829,-229.05396726216702,-15.484108483179,-17.355291924001705,11.0905227661,-0.2467974173
3202773095,compressed-42,286.9419776969188,229.21595309589307,15.638061998714875,17.517277757727754,-286.9419776969188,-229.21595309589307,-15.638061998714875,-17.517277757727754,13.4799966812,-0.246974828188
3272769928,compressed-43,285.85205867237727,222.19166667685764,14.548142974173345,10.49299133869232,-285.85205867237727,-222.19166667685764,-14.548142974173345,-10.49299133869232,15.5226631165,-0.24667256662
3342962027,compressed-44,285.68429255937355,228.29904976086488,14.380376861169623,16.60037442269956,-285.68429255937355,-228.29904976086488,-14.380376861169623,-16.60037442269956,18.2670936584,-0.24696470048
3404860020,compressed-45,285.85210444760935,229.31122757474253,14.548188749405426,17.612552236577216,-285.85210444760935,-229.31122757474253,-14.548188749405426,-17.612552236577216,20.7267894745,-0.246522004332
3475153923,compressed-46,285.6681177844956,229.33936681540445,14.364202086291698,17.64069147723913,-285.6681177844956,-229.33936681540445,-14.364202086291698,-17.64069147723913,23.7464904785,-0.246661131814
3536628962,compressed-47,284.66542853769226,237.44748290661846,13.361512839488341,25.748807568453145,-284.66542853769226,-237.44748290661846,-13.361512839488341,-25.748807568453145,26.6337299347,-0.246932306927
3608731032,compressed-48,281.6419414177012,229.39754413580607,10.338025719497296,17.698868797640756,-281.6419414177012,-229.39754413580607,-10.338025719497296,-17.698868797640756,29.8103408813,-0.246968796651
3670441151,compressed-49,284.68151200281505,229.43721815992166,13.377596304611131,17.73854282175634,-284.68151200281505,-229.43721815992166,-13.377596304611131,-17.73854282175634,31.4317321777,-0.246098583881
3739081145,compressed-50,283.56703958032364,226.49156968021288,12.263123882119714,14.79289434204756,-283.56703958032364,-226.49156968021288,-12.263123882119714,-14.79289434204756,34.4395942688,-0.246202287112
